split,event_root,capacity_blocks,capacity_fraction,slots_per_layer_base,slots_remainder,logical_blocks,lfru_transferred_blocks,forced_admit_belady_transferred_blocks,bypass_belady_transferred_blocks,lfru_miss_fraction,forced_admit_belady_miss_fraction,bypass_belady_miss_fraction,total_gap_blocks,total_gap_fraction_of_lfru,admission_contribution_blocks,future_victim_contribution_blocks,admission_share_of_total_gap,future_victim_share_of_total_gap
discovery_matched,cache-events-controller-probe-d1-diverse-matched-stagger-fcfs-b8-v1,288,0.046875,6,0,8436480,5153291,5063528,5052792,0.6108342578895464,0.6001943938704294,0.598921825216204,100499,0.01950190664567555,10736,89763,0.10682693360132936,0.8931730663986707
discovery_matched,cache-events-controller-probe-d1-diverse-matched-stagger-fcfs-b8-v1,1872,0.3046875,39,0,8436480,2298838,1790712,1432035,0.2724878148232438,0.21225819299044152,0.16974318673190714,866803,0.37706136752568037,358677,508126,0.41379298410365445,0.5862070158963455
discovery_matched,cache-events-controller-probe-d1-diverse-matched-stagger-fcfs-b8-v1,2064,0.3359375,43,0,8436480,2064831,1458263,1220117,0.2447502987027765,0.17285206626460325,0.1446239426869974,844714,0.4090959502254664,238146,606568,0.28192500657027114,0.7180749934297289
discovery_matched,cache-events-controller-probe-d1-diverse-matched-stagger-fcfs-b8-v1,2448,0.3984375,51,0,8436480,1594801,999044,880676,0.18903630424063117,0.11841953042027006,0.10438903428918221,714125,0.4477831403416476,118368,595757,0.16575249431122002,0.8342475056887799
discovery_matched,cache-events-controller-probe-d1-diverse-matched-stagger-fcfs-b8-v1,2458,0.4000651041666667,51,10,8436480,1582753,988644,872711,0.1876082204900622,0.11718678880291307,0.10344492015627371,710042,0.44861200705353266,115933,594109,0.1632762568974793,0.8367237431025207
confirmatory_heldout,cache-events-controller-probe-d1-diverse-heldout-stagger-fcfs-b8-v1,288,0.046875,6,0,9035136,5402095,5320377,5315318,0.5978985817147633,0.5888541135407369,0.5882941883774633,86777,0.016063582739659337,5059,81718,0.058298857992325155,0.9417011420076749
confirmatory_heldout,cache-events-controller-probe-d1-diverse-heldout-stagger-fcfs-b8-v1,1872,0.3046875,39,0,9035136,2375715,1833574,1478435,0.262941808512899,0.20293817381387508,0.1636317372533186,897280,0.377688401176067,355139,542141,0.3957950695435093,0.6042049304564907
confirmatory_heldout,cache-events-controller-probe-d1-diverse-heldout-stagger-fcfs-b8-v1,2064,0.3359375,43,0,9035136,2131098,1493722,1257524,0.23586783862467592,0.16532368743536346,0.13918152421834049,873574,0.4099173290012942,236198,637376,0.27038121555815536,0.7296187844418447
confirmatory_heldout,cache-events-controller-probe-d1-diverse-heldout-stagger-fcfs-b8-v1,2448,0.3984375,51,0,9035136,1639737,1022601,905670,0.18148448457223001,0.11318047675209317,0.10023866823919418,734067,0.4476736208306576,116931,617136,0.15929199923167775,0.8407080007683222
confirmatory_heldout,cache-events-controller-probe-d1-diverse-heldout-stagger-fcfs-b8-v1,2458,0.4000651041666667,51,10,9035136,1627302,1012001,897454,0.18010819095584174,0.11200727913780158,0.099329329409098,729848,0.44850187611150233,114547,615301,0.1569463778759413,0.8430536221240587
