condition,description,requests,scheduler_steps,mean_active_batch,condition_spec_sha256,best_causal,best_causal_miss,belady_miss,recoverable_gap
mixed12_draw1,"mixed, 2/category, matched draw 1",12,770,4.9012987012987015,088fd9119d3ab3c89e3622efd9f6836448e41ec3f55b5cd23ee781467bcb856a,lfru,0.17239114114114115,0.09441587727433316,0.4523159563226488
mixed12_draw2,"mixed, 2/category, matched draw 2",12,654,5.36085626911315,057cd38072b2e3de202912338be3bd826324502b19ce05f1100c4c7a88f64a7d,lfru,0.174979796539266,0.09677754801293022,0.44692158793765063
mixed12_draw3,"mixed, 2/category, matched draw 3",12,774,5.2015503875969,d1e52ea0074b148b4e23f377b5032db639cbf94c099b776fc576f2e786c9a05f,lfru,0.15542722305017387,0.0842880650769995,0.45770075908909313
mixed12_draw4,"mixed, 2/category, matched draw 4",12,725,4.775172413793103,80898961f6c28b85755f12726b8397b40eca8ca1208e9c286107f436bf2a4b99,lfru,0.18336808564413634,0.10114577315617176,0.448400342944813
mixed12_draw5,"mixed, 2/category, matched draw 5",12,617,5.3857374392220425,6eb16d498e329776a36d065267e4471484fb522dff02f795ab4f7e3e713ac704,lfru,0.19038237285585313,0.10627633162804695,0.44177430907159965
mixed12_draw6,"mixed, 2/category, matched draw 6",12,768,5.05078125,44a85a7dfd02a44894acd3cbf9db171e4afa59843e7c7719075446ba7780486b,lfru,0.18627948569218872,0.10171556780097964,0.4539625905503298
mixed12_heldout,"mixed, 2/category, held-out pool",12,775,5.36,197c187c5519da8e9615d299697b1299489da442ec42b566cb4b6aa60e39b8ce,lfru,0.17797604718343765,0.09623254694270583,0.45929495308141005
pure_dcs,pure dcs_process_diagnostics,12,717,5.694560669456067,06e09d6e9eac6dde22baac0ad0612c47847e442fccc415fd18a8a97f1758721b,lfru,0.1727424177483876,0.09464101661360111,0.4521263633611236
pure_rag,pure document_rag,12,675,5.7807407407407405,339b45f1c49c7f37e5b8a164f0ffd4074db494bc550da8e9657d1670ceb64c9c,lfru,0.10551012835298137,0.057682758841619684,0.4532964773898907
pure_equipment,pure equipment_maintenance_bom,12,745,5.4912751677852345,a06ee3ec6817b3757c5b1ecb5e2a876ce4e41ec7df572878cdfbba8f38de7c9b,lfru,0.148683212132323,0.08149240202069584,0.4519058281565078
pure_erp,pure erp_structured_analytics,12,772,5.681347150259067,77143fb214baed2da466e98a90f65fcb7c465b299031185a9c41f9a1041e24bc,lfru,0.14961430308557533,0.08150756668946649,0.4552154105022541
pure_office,pure office_legal,12,651,6.023041474654378,4943e5048f5a5ad1e2c5faf79785272dc944cb7bb7772a884e817cfdc398878f,lfu,0.08215445145796141,0.045675529201734254,0.44402855364317645
pure_agent,pure tool_agent,12,588,5.350340136054422,0f4d8879006fd783c1223313f9508d95535dcee31cadf2a8750ea79842b09188,lfru,0.18196552500529772,0.10113619808222081,0.4442013228644473
